1	2	3	4	0.0588902	-3	-0.00204425
2	0	0	0	0	-1	-0.106966
3	4	29	1	0.185062	-3	0.00197493
4	5	22	1	0.1489	-3	-0.00355994
5	6	11	2	0.00569404	-3	0.00512944
6	7	10	3	0.0650724	-3	-0.0156278
7	8	9	8	5	-3	-0.0239207
8	0	0	0	0	-1	0.0248038
9	0	0	0	0	-1	-0.0344656
10	0	0	0	0	-1	0.0638873
11	12	13	2	0.0274268	-3	0.0243887
12	0	0	0	0	-1	0.135873
13	14	21	3	0.0662724	-3	0.0150464
14	15	20	4	0.102728	-3	0.0226288
15	16	17	7	0.346733	-3	0.0153598
16	0	0	0	0	-1	0.00245367
17	18	19	1	0.0674463	-3	0.0686495
18	0	0	0	0	-1	0.0236912
19	0	0	0	0	-1	0.163062
20	0	0	0	0	-1	0.138207
21	0	0	0	0	-1	-0.113096
22	23	24	1	0.155766	-3	-0.0457655
23	0	0	0	0	-1	-0.181892
24	25	26	2	0.00814631	-3	-0.0071963
25	0	0	0	0	-1	0.052266
26	27	28	8	17.5	-3	-0.0468378
27	0	0	0	0	-1	0.0304853
28	0	0	0	0	-1	-0.124161
29	30	31	4	0.0696338	-3	0.0574466
30	0	0	0	0	-1	0.244501
31	32	33	4	0.0822366	-3	0.00400245
32	0	0	0	0	-1	0.053256
33	0	0	0	0	-1	-0.0698779
