1	2	3	4	0.0565569	-3	0.0033839
2	0	0	0	0	-1	-0.162326
3	4	5	4	0.0587632	-3	0.00733722
4	0	0	0	0	-1	0.193051
5	6	33	1	0.213024	-3	0.0035702
6	7	32	1	0.199072	-3	0.00688461
7	8	19	1	0.073336	-3	0.00218093
8	9	18	4	0.0878438	-3	0.0438783
9	10	15	1	0.0693602	-3	0.0166247
10	11	14	5	0.00449677	-3	-0.0336464
11	12	13	4	0.0788284	-3	-0.0863386
12	0	0	0	0	-1	-0.195806
13	0	0	0	0	-1	-0.0337942
14	0	0	0	0	-1	0.0963275
15	16	17	5	0.00304153	-3	0.10095
16	0	0	0	0	-1	0.244665
17	0	0	0	0	-1	-0.00284344
18	0	0	0	0	-1	0.17694
19	20	29	8	10.5	-3	-0.00911917
20	21	26	7	0.325402	-3	0.0285978
21	22	25	5	0.00414653	-3	0.109176
22	23	24	7	0.321127	-3	0.0357627
23	0	0	0	0	-1	-0.0932724
24	0	0	0	0	-1	0.268026
25	0	0	0	0	-1	0.230093
26	27	28	3	0.0421791	-3	-0.0328603
27	0	0	0	0	-1	0.00428686
28	0	0	0	0	-1	-0.141825
29	30	31	7	0.358537	-3	-0.0239213
30	0	0	0	0	-1	-0.0383909
31	0	0	0	0	-1	0.0382982
32	0	0	0	0	-1	0.19072
33	0	0	0	0	-1	-0.129282
