1	2	3	4	178.05	-3	36.3253883495146
2	4	5	8	21	-3	44.8859134615385
3	6	7	7	712.55	-3	30.5254234527687
4	8	9	3	100.15	-3	31.198
5	10	11	2	17	-3	51.4619572953736
6	12	13	8	42	-3	40.9896449704142
7	14	15	7	821.8	-3	26.5513707865169
8	16	17	8	5	-3	36.9254430379747
9	18	19	4	154.3	-3	23.1182142857143
10	20	21	3	47.8	-3	44.8720472440945
11	22	23	8	42	-3	56.8964935064935
12	24	25	1	309.3	-3	36.1790909090909
13	26	27	4	194.5	-3	49.9584745762712
14	28	29	2	171.65	-3	28.6927419354839
15	30	31	7	862.1	-3	21.6341481481481
16	32	33	6	1093.35	-3	29.5646153846154
17	34	35	5	15.4	-3	44.10225
18	36	37	1	207.4	-3	31.0442857142857
19	38	39	2	47.65	-3	21.9859183673469
20	40	41	5	4.6	-3	62.9363333333333
21	42	43	4	155.8	-3	39.2851546391753
22	44	45	2	179.05	-3	51.9821739130435
23	46	47	5	8.35	-3	64.1887096774194
24	48	49	8	17.5	-3	29.6509836065574
25	50	51	6	1124.7	-3	44.3059183673469
26	0	0	0	0	-1	72.084
27	52	53	3	61.5	-3	47.9098148148148
28	54	55	1	455.5	-3	29.7348046875
29	56	57	8	17.5	-3	23.7525925925926
30	58	59	4	182.1	-3	23.7510101010101
31	60	61	6	911.5	-3	15.8127777777778
32	62	63	3	51.75	-3	28.9118918918919
33	0	0	0	0	-1	41.64
34	64	65	1	484	-3	41.7137931034483
35	66	67	4	148.65	-3	50.3990909090909
36	0	0	0	0	-1	17.82
37	68	69	1	302.9	-3	33.2483333333333
38	70	71	8	8.5	-3	20.2205714285714
39	72	73	2	111.65	-3	26.3992857142857
40	74	75	6	1047.5	-3	71.6192307692308
41	76	77	7	773.5	-3	56.2964705882353
42	78	79	3	112.5	-3	50.3778571428571
43	80	81	8	42	-3	37.4140963855422
44	82	83	1	314	-3	49.6533846153846
45	84	85	4	166.65	-3	57.5885185185185
46	86	87	2	43.65	-3	48.5414285714286
47	88	89	3	51.75	-3	66.1801818181818
48	90	91	1	243.85	-3	16.5825
49	92	93	5	3	-3	31.6235849056604
50	94	95	5	8.25	-3	47.7297142857143
51	0	0	0	0	-1	35.7464285714286
52	96	97	1	403.75	-3	47.3732692307692
53	0	0	0	0	-1	61.86
54	98	99	4	181.95	-3	29.1989959839357
55	100	101	7	751.25	-3	48.7942857142857
56	102	103	2	182.9	-3	12.3616
57	104	105	8	59	-3	33.5724137931034
58	106	107	7	828.5	-3	15.978
59	108	109	2	229.85	-3	24.6243820224719
60	110	111	4	188	-3	13.6245
61	112	113	7	866.65	-3	18.548125
62	114	115	5	11.3	-3	31.5833333333333
63	116	117	1	269.75	-3	23.98
64	118	119	2	10	-3	40.6180769230769
65	0	0	0	0	-1	51.21
66	0	0	0	0	-1	56.995
67	120	121	4	152.45	-3	48.9333333333333
68	0	0	0	0	-1	32.87
69	0	0	0	0	-1	33.4375
70	122	123	3	121.7	-3	15.1568421052632
71	124	125	3	125	-3	26.23375
72	126	127	7	758.35	-3	28.3091666666667
73	0	0	0	0	-1	14.94
74	128	129	1	511	-3	75.42
75	130	131	5	1.25	-3	68.3614285714286
76	132	133	5	10.4	-3	65.9314285714286
77	134	135	5	18.25	-3	49.552
78	0	0	0	0	-1	45.954
79	136	137	6	1070.15	-3	52.8355555555556
80	138	139	3	174.55	-3	29.3482051282051
81	140	141	6	1057.5	-3	44.5634090909091
82	142	143	1	194.35	-3	42.4937142857143
83	144	145	1	320.3	-3	58.0063333333333
84	146	147	2	189.5	-3	70.2666666666667
85	148	149	7	643.4	-3	41.7408333333333
86	0	0	0	0	-1	39.23
87	0	0	0	0	-1	52.266
88	150	151	1	384.7	-3	67.4495238095238
89	152	153	2	23	-3	62.0792307692308
90	0	0	0	0	-1	21.23
91	0	0	0	0	-1	11.935
92	154	155	7	683.45	-3	38.8257142857143
93	156	157	7	637	-3	29.0382051282051
94	158	159	7	603.6	-3	44.4004
95	160	161	8	5	-3	56.053
96	162	163	2	85.5	-3	48.9
97	0	0	0	0	-1	43.2292857142857
98	164	165	8	21	-3	36.03
99	166	167	2	155.75	-3	28.5369603524229
100	0	0	0	0	-1	47.3533333333333
101	0	0	0	0	-1	49.875
102	0	0	0	0	-1	19.77
103	168	169	4	197.75	-3	10.9504761904762
104	170	171	1	264	-3	29.943
105	172	173	2	187.95	-3	41.6377777777778
106	0	0	0	0	-1	22.62
107	174	175	5	6.3	-3	14.3175
108	176	177	6	929.3	-3	24.3188505747126
109	0	0	0	0	-1	37.915
110	0	0	0	0	-1	22.345
111	178	179	8	17.5	-3	12.6555555555556
112	0	0	0	0	-1	9.31
113	180	181	3	48.35	-3	19.164
114	182	183	4	152.7	-3	29
115	184	185	4	152.45	-3	33.7692307692308
116	0	0	0	0	-1	15.36
117	186	187	6	949.6	-3	24.6983333333333
118	188	189	7	877	-3	36.9
119	190	191	5	11.4	-3	41.9878947368421
120	0	0	0	0	-1	46.8
121	0	0	0	0	-1	49.2
122	0	0	0	0	-1	23.8
123	192	193	7	760.95	-3	14.14
124	194	195	7	778	-3	28.487
125	196	197	6	1049.6	-3	22.4783333333333
126	0	0	0	0	-1	26.1175
127	198	199	2	64.6	-3	29.405
128	0	0	0	0	-1	67.57
129	0	0	0	0	-1	76.99
130	0	0	0	0	-1	70.95
131	0	0	0	0	-1	61.89
132	0	0	0	0	-1	60.784
133	0	0	0	0	-1	78.8
134	200	201	6	835.5	-3	44.5866666666667
135	0	0	0	0	-1	57
136	0	0	0	0	-1	47.536
137	0	0	0	0	-1	59.46
138	202	203	1	192.5	-3	32.9964516129032
139	204	205	6	1047.75	-3	15.21125
140	206	207	6	1054.6	-3	48.2007692307692
141	208	209	6	1068.65	-3	39.3094444444444
142	210	211	4	176.55	-3	38.2114285714286
143	212	213	2	106.3	-3	45.3485714285714
144	0	0	0	0	-1	81.75
145	214	215	5	11.5	-3	56.3103571428571
146	216	217	6	845	-3	72.085
147	0	0	0	0	-1	62.9933333333333
148	0	0	0	0	-1	59.8
149	218	219	1	248.85	-3	38.129
150	220	221	5	15.1	-3	65.885
151	222	223	6	898.4	-3	70.5785714285714
152	224	225	6	880	-3	66.6257142857143
153	226	227	3	141.85	-3	56.775
154	228	229	2	218.75	-3	41.9744444444444
155	0	0	0	0	-1	33.158
156	0	0	0	0	-1	23.644
157	230	231	2	45.85	-3	29.8314705882353
158	232	233	2	23.75	-3	37.6528571428571
159	234	235	8	17.5	-3	47.0244444444444
160	0	0	0	0	-1	31.9666666666667
161	236	237	2	229.9	-3	66.3757142857143
162	0	0	0	0	-1	53.2888888888889
163	238	239	2	166.25	-3	44.95
164	0	0	0	0	-1	20.836
165	240	241	7	737.85	-3	40.4988235294118
166	242	243	8	21	-3	27.445512195122
167	244	245	3	66.3	-3	38.7072727272727
168	246	247	1	186.95	-3	13.6692307692308
169	248	249	1	131.95	-3	6.5325
170	250	251	1	151.5	-3	28.05
171	0	0	0	0	-1	65.91
172	0	0	0	0	-1	33.19
173	252	253	7	733.15	-3	44.0514285714286
174	0	0	0	0	-1	13.854
175	0	0	0	0	-1	15.09
176	0	0	0	0	-1	15.506
177	254	255	8	42	-3	24.8562195121951
178	256	257	2	51	-3	8.37888888888889
179	258	259	6	850.5	-3	16.9322222222222
180	260	261	6	940.6	-3	18.9561538461538
181	0	0	0	0	-1	20.515
182	0	0	0	0	-1	24.4
183	262	263	6	935.4	-3	30.725
184	0	0	0	0	-1	36.925
185	264	265	5	11.85	-3	32.3666666666667
186	0	0	0	0	-1	26.258
187	266	267	3	87.6	-3	23.5842857142857
