1	2	3	4	1.35	-3	0.000837398
2	0	0	0	0	-1	-0.0123251
3	4	27	2	0.7425	-3	0.00100422
4	5	16	5	0.0615	-3	0.000506654
5	6	13	7	56.5	-3	0.00542259
6	7	12	6	16.5	-3	0.00958871
7	8	11	3	0.365	-3	0.00635926
8	9	10	1	6.95	-3	0.010729
9	0	0	0	0	-1	0.00287328
10	0	0	0	0	-1	0.0214414
11	0	0	0	0	-1	-0.00175597
12	0	0	0	0	-1	0.0225065
13	14	15	8	0.9933	-3	-0.00290965
14	0	0	0	0	-1	0.00686418
15	0	0	0	0	-1	-0.0105891
16	17	18	9	2.965	-3	-6.40813e-05
17	0	0	0	0	-1	0.0146151
18	19	26	11	12.85	-3	-0.000294885
19	20	25	8	0.99978	-3	-8.00613e-05
20	21	24	7	49.5	-3	-0.000472969
21	22	23	11	12.45	-3	-0.001657
22	0	0	0	0	-1	-0.00210544
23	0	0	0	0	-1	0.00990631
24	0	0	0	0	-1	0.00164138
25	0	0	0	0	-1	0.00552606
26	0	0	0	0	-1	-0.0137429
27	28	29	6	8	-3	0.00627991
28	0	0	0	0	-1	0.0162736
29	30	33	7	86.5	-3	0.00294868
30	31	32	2	0.875	-3	-0.00138595
31	0	0	0	0	-1	0.00350466
32	0	0	0	0	-1	-0.0133902
33	0	0	0	0	-1	0.0156191
