1	2	3	4	1.55	-3	-0.000542162
2	0	0	0	0	-1	-0.00613776
3	4	31	2	0.6125	-3	-0.00025502
4	5	12	8	0.995565	-3	-0.00123891
5	6	7	9	3.255	-3	0.00243918
6	0	0	0	0	-1	0.0116833
7	8	9	11	10.35	-3	0.000674394
8	0	0	0	0	-1	0.0134789
9	10	11	4	2.25	-3	-0.000606058
10	0	0	0	0	-1	-0.00400001
11	0	0	0	0	-1	0.00628469
12	13	18	8	0.996125	-3	-0.00245258
13	14	15	5	0.0725	-3	-0.00867913
14	0	0	0	0	-1	-0.0194283
15	16	17	2	0.385	-3	-0.00399361
16	0	0	0	0	-1	0.00663253
17	0	0	0	0	-1	-0.00930669
18	19	30	11	10.35	-3	-0.00143004
19	20	23	4	1.95	-3	-0.00323018
20	21	22	9	3.265	-3	0.00348775
21	0	0	0	0	-1	-0.0049644
22	0	0	0	0	-1	0.0106721
23	24	25	1	7.75	-3	-0.0046188
24	0	0	0	0	-1	-0.0119738
25	26	27	9	3.035	-3	-0.00289418
26	0	0	0	0	-1	-0.0159367
27	28	29	5	0.0955	-3	-0.00182353
28	0	0	0	0	-1	-0.00418046
29	0	0	0	0	-1	0.00671019
30	0	0	0	0	-1	0.0016806
31	32	33	3	0.53	-3	0.00198417
32	0	0	0	0	-1	0.00135417
33	0	0	0	0	-1	0.0146415
