1	2	3	4	0.0591837	-3	-0.00490776
2	0	0	0	0	-1	-0.136278
3	4	31	5	0.00497071	-3	0.000124577
4	5	14	4	0.0742866	-3	0.00739062
5	6	7	5	0.00278651	-3	0.0529665
6	0	0	0	0	-1	0.218928
7	8	13	2	0.0419385	-3	0.0354969
8	9	10	8	5	-3	0.0105229
9	0	0	0	0	-1	-0.079169
10	11	12	1	0.141781	-3	0.0375728
11	0	0	0	0	-1	0.0067509
12	0	0	0	0	-1	0.168566
13	0	0	0	0	-1	0.0994929
14	15	16	4	0.076129	-3	-0.0103333
15	0	0	0	0	-1	-0.171706
16	17	18	6	0.380646	-3	-0.00358785
17	0	0	0	0	-1	-0.0709256
18	19	30	3	0.0573427	-3	0.00413548
19	20	27	4	0.0882219	-3	-0.00163598
20	21	24	2	0.0821373	-3	0.0126955
21	22	23	1	0.0866497	-3	0.00143951
22	0	0	0	0	-1	-0.0816197
23	0	0	0	0	-1	0.0151945
24	25	26	1	0.0822069	-3	0.0985222
25	0	0	0	0	-1	-0.0118802
26	0	0	0	0	-1	0.228998
27	28	29	2	0.0769212	-3	-0.0510795
28	0	0	0	0	-1	-0.0239067
29	0	0	0	0	-1	-0.159771
30	0	0	0	0	-1	0.132551
31	32	33	1	0.158481	-3	-0.0709563
32	0	0	0	0	-1	-0.109114
33	0	0	0	0	-1	0.0162613
