1	2	3	4	0.0588902	-3	0.00784228
2	0	0	0	0	-1	-0.099075
3	4	25	2	0.0087852	-3	0.01083
4	5	18	6	0.424242	-3	-0.00220317
5	6	9	8	5	-3	-0.0230808
6	7	8	1	0.106257	-3	-0.071619
7	0	0	0	0	-1	0.0293211
8	0	0	0	0	-1	-0.182653
9	10	17	5	0.00523779	-3	-0.0144426
10	11	12	4	0.0679363	-3	-0.0234024
11	0	0	0	0	-1	-0.0782572
12	13	16	8	140	-3	-0.012559
13	14	15	6	0.411168	-3	-0.00164224
14	0	0	0	0	-1	-0.0257205
15	0	0	0	0	-1	0.0344751
16	0	0	0	0	-1	-0.0869918
17	0	0	0	0	-1	0.0470816
18	19	24	4	0.0822886	-3	0.019135
19	20	23	7	0.332284	-3	0.0128651
20	21	22	8	21	-3	-0.00390916
21	0	0	0	0	-1	-0.0619139
22	0	0	0	0	-1	0.0299269
23	0	0	0	0	-1	0.0388822
24	0	0	0	0	-1	0.0903838
25	26	29	2	0.0274268	-3	0.0266889
26	27	28	4	0.0707379	-3	0.117542
27	0	0	0	0	-1	0.176823
28	0	0	0	0	-1	0.0687222
29	30	33	5	0.00338988	-3	0.0122456
30	31	32	3	0.0461371	-3	-0.00410648
31	0	0	0	0	-1	0.00571181
32	0	0	0	0	-1	-0.0796318
33	0	0	0	0	-1	0.0347796
