1	2	3	4	175.65	-3	35.7481650485437
2	4	5	8	21	-3	43.8693489583333
3	6	7	7	712.55	-3	30.9207120743034
4	8	9	5	15.1	-3	30.6794160583942
5	10	11	1	252.05	-3	51.1852226720648
6	12	13	1	258.1	-3	40.2313043478261
7	14	15	8	10.5	-3	27.2125974025974
8	16	17	3	94.8	-3	28.8039669421488
9	18	19	8	5	-3	44.8625
10	20	21	3	174.85	-3	39.6545098039216
11	22	23	3	51.25	-3	59.2964827586207
12	24	25	6	971.5	-3	31.6474603174603
13	26	27	6	880.2	-3	44.7005785123967
14	28	29	7	797.5	-3	14.1527131782946
15	30	31	3	171.1	-3	32.2718318318318
16	32	33	8	5	-3	39.5065789473684
17	34	35	1	203.35	-3	23.9039759036145
18	36	37	4	149.7	-3	37.3833333333333
19	38	39	2	134.2	-3	49.35
20	40	41	2	43.7	-3	41.2288541666667
21	42	43	4	162.35	-3	14.465
22	44	45	5	10.65	-3	64.1543678160919
23	46	47	5	8.95	-3	52.0096551724138
24	48	49	5	5.9	-3	33.3232692307692
25	50	51	8	17.5	-3	23.7254545454545
26	52	53	3	115	-3	53.0390909090909
27	54	55	7	603.5	-3	43.8667272727273
28	56	57	4	203.25	-3	17.18546875
29	58	59	1	191.25	-3	11.1666153846154
30	60	61	8	42	-3	32.9947975077882
31	62	63	6	873.5	-3	12.9325
32	64	65	3	39.5	-3	32.2878947368421
33	66	67	2	195.05	-3	46.7252631578947
34	68	69	8	8.5	-3	19.83
35	70	71	5	10.05	-3	26.8745833333333
36	0	0	0	0	-1	40.575
37	0	0	0	0	-1	31
38	72	73	1	447	-3	49.9125
39	0	0	0	0	-1	47.1
40	74	75	5	10.05	-3	38.4583870967742
41	76	77	5	10.05	-3	46.2808823529412
42	0	0	0	0	-1	15.42
43	0	0	0	0	-1	13.9875
44	78	79	1	313	-3	61.087037037037
45	80	81	2	170.1	-3	65.5346666666667
46	82	83	7	804.6	-3	65.8133333333333
47	84	85	1	276.1	-3	50.4169230769231
48	86	87	2	213.75	-3	37.1383333333333
49	88	89	2	187.5	-3	30.0532142857143
50	0	0	0	0	-1	16.706
51	90	91	2	241	-3	29.575
52	0	0	0	0	-1	53.52
53	0	0	0	0	-1	52.85875
54	92	93	1	403.75	-3	39.1405405405405
55	94	95	8	10.5	-3	46.2621917808219
56	96	97	5	7.7	-3	17.7578333333333
57	0	0	0	0	-1	8.6
58	98	99	8	5	-3	6.8945
59	100	101	7	843.8	-3	13.0653333333333
60	102	103	4	178.05	-3	30.6890987124464
61	104	105	1	434	-3	39.0996590909091
62	106	107	6	831.5	-3	13.811
63	0	0	0	0	-1	8.54
64	108	109	5	11.85	-3	33.576
65	0	0	0	0	-1	27.4575
