1	2	3	4	1.35	-3	0.000230401
2	0	0	0	0	-1	-0.0254147
3	4	25	4	2.975	-3	0.000555434
4	5	8	3	0.185	-3	0.00157186
5	6	7	3	0.155	-3	0.00521956
6	0	0	0	0	-1	0.00355952
7	0	0	0	0	-1	0.025839
8	9	16	3	0.295	-3	-0.000702379
9	10	15	8	0.99669	-3	-0.00895683
10	11	12	6	15.5	-3	-0.018089
11	0	0	0	0	-1	-0.030605
12	13	14	2	0.415	-3	-0.00901492
13	0	0	0	0	-1	-0.0254827
14	0	0	0	0	-1	0.000865764
15	0	0	0	0	-1	0.00249988
16	17	20	2	0.4725	-3	0.00288903
17	18	19	4	1.85	-3	-0.000690565
18	0	0	0	0	-1	0.0081969
19	0	0	0	0	-1	-0.00396782
20	21	24	7	90	-3	0.0147668
21	22	23	6	22	-3	0.0200056
22	0	0	0	0	-1	0.0122905
23	0	0	0	0	-1	0.0463654
24	0	0	0	0	-1	-0.00659123
25	26	29	4	3.55	-3	-0.00484383
26	27	28	4	3.25	-3	-0.0179254
27	0	0	0	0	-1	-0.00311715
28	0	0	0	0	-1	-0.0335564
29	30	31	3	0.105	-3	0.000656381
30	0	0	0	0	-1	-0.0174831
31	32	33	10	0.545	-3	0.00565132
32	0	0	0	0	-1	0.0237909
33	0	0	0	0	-1	0.00103398
