varindex,treeid,nodeid,pred,splitvar1,splitval1,splitvar,splitval,vartype,sol
1,1,4,2.913702,0,0,0,0.0,y,0.0
2,1,5,1.547243,0,0,0,0.0,y,0.0
3,1,8,0.0,0,0,0,0.0,y,0.0
4,1,9,1.1358339999999998,0,0,0,0.0,y,0.0
5,1,11,0.5795299999999999,0,0,0,0.0,y,0.0
6,1,12,1.806981,0,0,0,0.0,y,0.0
7,1,16,2.488778,0,0,0,0.0,y,0.0
8,1,17,3.94398,0,0,0,0.0,y,0.0
9,1,18,5.3374299999999995,0,0,0,0.0,y,1.0
10,1,22,0.5234099999999999,0,0,0,0.0,y,0.0
11,1,23,1.763483,0,0,0,0.0,y,0.0
12,1,25,3.036977,0,0,0,0.0,y,0.0
13,1,26,1.9223339999999998,0,0,0,0.0,y,0.0
14,1,30,2.0679144999999997,0,0,0,0.0,y,0.0
15,1,31,2.982334,0,0,0,0.0,y,0.0
16,1,32,3.6696999999999997,0,0,0,0.0,y,0.0
17,1,33,4.345599999999999,0,0,0,0.0,y,0.0
18,2,4,0.008650000000000269,0,0,0,0.0,y,0.0
19,2,7,1.945507,0,0,0,0.0,y,0.0
20,2,9,0.0,0,0,0,0.0,y,0.0
21,2,10,0.9550700000000001,0,0,0,0.0,y,0.0
22,2,11,1.5616400000000001,0,0,0,0.0,y,0.0
23,2,15,0.5011900000000002,0,0,0,0.0,y,0.0
24,2,16,1.689116,0,0,0,0.0,y,0.0
25,2,17,3.009884,0,0,0,0.0,y,0.0
26,2,19,1.5682940000000003,0,0,0,0.0,y,0.0
27,2,22,2.1235950000000003,0,0,0,0.0,y,0.0
28,2,23,3.14562,0,0,0,0.0,y,0.0
29,2,24,4.6543,0,0,0,0.0,y,0.0
30,2,27,3.2833500000000004,0,0,0,0.0,y,0.0
31,2,28,2.2794440000000002,0,0,0,0.0,y,0.0
32,2,30,3.38889,0,0,0,0.0,y,0.0
33,2,32,4.52276,0,0,0,0.0,y,0.0
34,2,33,5.70244,0,0,0,0.0,y,1.0
35,3,4,0.0,0,0,0,0.0,y,0.0
36,3,7,0.046479999999999855,0,0,0,0.0,y,0.0
37,3,8,1.1291669999999998,0,0,0,0.0,y,0.0
38,3,10,2.247553,0,0,0,0.0,y,0.0
39,3,11,1.259404,0,0,0,0.0,y,0.0
40,3,14,0.9585489999999999,0,0,0,0.0,y,0.0
41,3,15,2.5371699999999997,0,0,0,0.0,y,0.0
42,3,17,1.495126,0,0,0,0.0,y,0.0
43,3,20,1.787358,0,0,0,0.0,y,0.0
44,3,21,2.721229,0,0,0,0.0,y,0.0
45,3,22,3.4154299999999997,0,0,0,0.0,y,0.0
46,3,24,4.64138,0,0,0,0.0,y,1.0
47,3,28,4.02285,0,0,0,0.0,y,0.0
48,3,29,2.99849,0,0,0,0.0,y,0.0
49,3,30,2.671563,0,0,0,0.0,y,0.0
50,3,32,2.362806,0,0,0,0.0,y,0.0
51,3,33,1.2243879999999998,0,0,0,0.0,y,0.0
52,4,4,0.9574029999999999,0,0,0,0.0,y,0.0
53,4,5,0.0,0,0,0,0.0,y,0.0
54,4,8,0.17967,0,0,0,0.0,y,0.0
55,4,9,1.0839729999999999,0,0,0,0.0,y,0.0
56,4,14,2.9998699999999996,0,0,0,0.0,y,0.0
57,4,15,1.9488249999999998,0,0,0,0.0,y,0.0
58,4,16,1.732049,0,0,0,0.0,y,0.0
59,4,17,4.12155,0,0,0,0.0,y,0.0
60,4,19,2.138413,0,0,0,0.0,y,0.0
61,4,22,1.227786,0,0,0,0.0,y,0.0
62,4,23,0.5287999999999999,0,0,0,0.0,y,0.0
63,4,24,1.7693439999999998,0,0,0,0.0,y,0.0
64,4,27,1.847119,0,0,0,0.0,y,0.0
65,4,28,0.7625829999999999,0,0,0,0.0,y,0.0
66,4,31,3.48681,0,0,0,0.0,y,0.0
67,4,32,4.57857,0,0,0,0.0,y,1.0
68,4,33,2.226683,0,0,0,0.0,y,0.0
69,5,4,0.0,0,0,0,0.0,y,0.0
70,5,6,0.23961999999999994,0,0,0,0.0,y,0.0
71,5,7,1.208106,0,0,0,0.0,y,0.0
72,5,10,1.287622,0,0,0,0.0,y,0.0
73,5,11,2.277068,0,0,0,0.0,y,0.0
