varindex,treeid,nodeid,pred,splitvar1,splitval1,splitvar,splitval,vartype,sol
1,1,4,0.29137019999999997,0,0,0,0.0,y,0.0
2,1,5,0.15472429999999998,0,0,0,0.0,y,0.0
3,1,8,0.0,0,0,0,0.0,y,0.0
4,1,9,0.11358339999999997,0,0,0,0.0,y,0.0
5,1,11,0.05795299999999998,0,0,0,0.0,y,0.0
6,1,12,0.18069809999999997,0,0,0,0.0,y,0.0
7,1,16,0.24887779999999998,0,0,0,0.0,y,0.0
8,1,17,0.39439799999999997,0,0,0,0.0,y,0.0
9,1,18,0.533743,0,0,0,0.0,y,1.0
10,1,22,0.05234099999999997,0,0,0,0.0,y,0.0
11,1,23,0.17634829999999996,0,0,0,0.0,y,0.0
12,1,25,0.30369769999999996,0,0,0,0.0,y,0.0
13,1,26,0.19223339999999997,0,0,0,0.0,y,0.0
14,1,30,0.20679144999999996,0,0,0,0.0,y,0.0
15,1,31,0.2982334,0,0,0,0.0,y,0.0
16,1,32,0.36696999999999996,0,0,0,0.0,y,0.0
17,1,33,0.43455999999999995,0,0,0,0.0,y,0.0
18,2,4,0.0008650000000000324,0,0,0,0.0,y,0.0
19,2,7,0.19455070000000002,0,0,0,0.0,y,0.0
20,2,9,0.0,0,0,0,0.0,y,0.0
21,2,10,0.09550700000000001,0,0,0,0.0,y,0.0
22,2,11,0.15616400000000003,0,0,0,0.0,y,0.0
23,2,15,0.050119000000000025,0,0,0,0.0,y,0.0
24,2,16,0.1689116,0,0,0,0.0,y,0.0
25,2,17,0.30098840000000004,0,0,0,0.0,y,0.0
26,2,19,0.1568294,0,0,0,0.0,y,0.0
27,2,22,0.2123595,0,0,0,0.0,y,0.0
28,2,23,0.314562,0,0,0,0.0,y,0.0
29,2,24,0.46543,0,0,0,0.0,y,0.0
30,2,27,0.32833500000000004,0,0,0,0.0,y,0.0
31,2,28,0.22794440000000002,0,0,0,0.0,y,0.0
32,2,30,0.338889,0,0,0,0.0,y,0.0
33,2,32,0.452276,0,0,0,0.0,y,0.0
34,2,33,0.570244,0,0,0,0.0,y,1.0
35,3,4,0.0,0,0,0,0.0,y,0.0
36,3,7,0.0046479999999999855,0,0,0,0.0,y,0.0
37,3,8,0.11291670000000001,0,0,0,0.0,y,0.0
38,3,10,0.2247553,0,0,0,0.0,y,0.0
39,3,11,0.1259404,0,0,0,0.0,y,0.0
40,3,14,0.09585489999999999,0,0,0,0.0,y,0.0
41,3,15,0.253717,0,0,0,0.0,y,0.0
42,3,17,0.1495126,0,0,0,0.0,y,0.0
43,3,20,0.1787358,0,0,0,0.0,y,0.0
