M,N,C,D,T,seed,formulation,mipgap,runtime,bnbcnt,objval_LP,objbnd,objval
5,2,2,4,1,1,DCC,0,0.9336349964,848,261.2013573,268.3958879,268.3958879
5,2,2,4,1,1,DLog,0,1.479434013,1353,261.2013573,268.3958879,268.3958879
5,2,2,4,1,1,MC,0,0.6665079594,531,261.2013573,268.3958844,268.3958844
5,2,2,4,1,1,TEOC,0,1.486597061,70,261.2013573,268.3958879,268.3958879
5,2,2,4,1,1,TEOM,0,0.7343640327,165,235.5567418,268.3958879,268.3958879
5,2,2,4,1,1,TEOR,0,0.85404706,330,261.2013573,268.3958879,268.3958879
5,2,2,4,1,2,DCC,0,0.713449955,707,268.5972349,274.0224412,274.0224412
5,2,2,4,1,2,DLog,0,1.141525984,682,268.5972349,274.0224412,274.0224412
5,2,2,4,1,2,MC,0,0.609265089,307,268.5972349,274.0224412,274.0224412
5,2,2,4,1,2,TEOC,0,0.7574939728,106,268.5972349,274.0224412,274.0224412
5,2,2,4,1,2,TEOM,0,1.04991293,187,232.8029057,274.0224412,274.0224412
5,2,2,4,1,2,TEOR,0,0.6657819748,140,268.5972349,274.0224412,274.0224412
5,2,2,4,1,3,DCC,0,0.932543993,283,262.2502437,265.9596734,265.9596734
5,2,2,4,1,3,DLog,0,1.17703104,851,262.2502437,265.9596734,265.9596734
5,2,2,4,1,3,MC,0,0.5125648975,1,262.2502437,265.9596734,265.9596734
5,2,2,4,1,3,TEOC,0,0.6775529385,1,262.2502437,265.9596734,265.9596734
5,2,2,4,1,3,TEOM,0,0.4337110519,1,236.0781979,265.9596734,265.9596734
5,2,2,4,1,3,TEOR,0,0.4832081795,1,262.2502437,265.9596734,265.9596734
5,2,2,4,1,4,DCC,0,1.232151031,1499,264.5457187,270.8651304,270.8651304
5,2,2,4,1,4,DLog,0,2.30045104,2140,264.5457187,270.8651304,270.8651304
5,2,2,4,1,4,MC,0,1.203575134,512,264.5457187,270.8651304,270.8651304
5,2,2,4,1,4,TEOC,0,1.312669992,195,264.5457187,270.8651301,270.8651301
5,2,2,4,1,4,TEOM,0,1.202527046,263,232.6721168,270.8651304,270.8651304
5,2,2,4,1,4,TEOR,0,1.32110095,220,264.5457187,270.8651304,270.8651304
5,2,2,4,1,5,DCC,0,0.5759940147,1,259.7565324,262.6763829,262.6763829
5,2,2,4,1,5,DLog,0,0.8480329514,205,259.7565324,262.6763829,262.6763829
5,2,2,4,1,5,MC,0,0.338105917,1,259.7565324,262.6763829,262.6763829
5,2,2,4,1,5,TEOC,0,0.1490659714,1,259.7565324,262.6763829,262.6763829
5,2,2,4,1,5,TEOM,0,0.2592439651,1,233.8607523,262.6763829,262.6763829
5,2,2,4,1,5,TEOR,0,0.1962211132,1,259.7565324,262.6763829,262.6763829
5,2,2,4,1,6,DCC,0,0.7982308865,299,258.6261839,265.216332,265.216332
5,2,2,4,1,6,DLog,0,1.412484169,1323,258.6261839,265.216332,265.216332
5,2,2,4,1,6,MC,0,1.00219202,144,258.6261839,265.216332,265.216332
5,2,2,4,1,6,TEOC,9.56E-05,0.8946681023,1,258.6261839,265.19098,265.216332
5,2,2,4,1,6,TEOM,0,1.097984076,1,231.8395411,265.216332,265.216332
5,2,2,4,1,6,TEOR,0,1.059636831,13,258.6261839,265.216332,265.216332
5,2,2,4,1,7,DCC,0,0.4528000355,75,261.1459205,264.5324568,264.5324568
5,2,2,4,1,7,DLog,0,0.5931658745,38,261.1459205,264.5324568,264.5324568
5,2,2,4,1,7,MC,0,0.1721258163,1,261.1459205,264.5324568,264.5324568
5,2,2,4,1,7,TEOC,0,0.1983261108,1,261.1459205,264.5324568,264.5324568
5,2,2,4,1,7,TEOM,0,0.3038229942,1,232.3192551,264.5324568,264.5324568
5,2,2,4,1,7,TEOR,0,0.1919121742,1,261.1459205,264.5324568,264.5324568
5,2,2,4,1,8,DCC,0,0.5673999786,264,261.8327172,266.2686911,266.2686911
5,2,2,4,1,8,DLog,0,1.153448105,181,261.8327172,266.2686911,266.2686911
5,2,2,4,1,8,MC,0,0.8836870193,1,261.8327172,266.2686911,266.2686911
5,2,2,4,1,8,TEOC,1.59E-05,0.4317030907,1,261.8327172,266.2644574,266.2686911
5,2,2,4,1,8,TEOM,0,0.4468679428,1,233.8633061,266.2686911,266.2686911
5,2,2,4,1,8,TEOR,0,0.4216051102,1,261.8327172,266.2686911,266.2686911
5,2,2,4,1,9,DCC,0,0.6153171062,241,263.6150023,268.8035702,268.8035702
5,2,2,4,1,9,DLog,0,1.131530046,165,263.6150023,268.8035732,268.8035732
