M,N,C,D,T,seed,formulation,mipgap,runtime,bnbcnt,objval_LP,objbnd,objval
5,2,2,10,1,1,TEOC,0,79.28387785,7476,292.7903682,295.1507393,295.1507393
5,2,2,10,1,1,TEOM,5.54E-06,1262.466151,147550,197.6760259,295.1491036,295.1507393
5,2,2,10,1,1,TEOR,2.78E-08,1453.834835,70472,276.2976577,295.1507311,295.1507393
5,2,2,10,1,2,TEOC,0,78.38959479,7394,293.3314805,295.1650108,295.1650108
5,2,2,10,1,2,TEOM,5.18E-05,1393.889808,134055,200.8902249,295.149723,295.1650108
5,2,2,10,1,2,TEOR,5.63E-06,1493.259581,72454,272.5249281,295.1633485,295.1650108
5,2,2,10,1,3,TEOC,0,91.14750886,15860,290.2634142,293.2949293,293.2949293
5,2,2,10,1,3,TEOM,5.52E-05,512.5278702,47862,200.5090335,293.2787409,293.2949332
5,2,2,10,1,3,TEOR,1.01E-07,1554.892643,47525,270.0653194,293.2949035,293.2949332
5,2,2,10,1,4,TEOC,0,35.18920708,6508,290.8303482,293.4402037,293.4402037
5,2,2,10,1,4,TEOM,6.72E-08,776.9570711,82932,199.6258818,293.4401864,293.4402062
5,2,2,10,1,4,TEOR,0,622.0703001,57452,278.5064097,293.4402062,293.4402062
5,2,2,10,1,5,TEOC,0,31.08049989,2929,293.6200064,295.7285186,295.7285186
5,2,2,10,1,5,TEOM,0,1132.082068,85784,201.458104,295.7285186,295.7285186
5,2,2,10,1,5,TEOR,1.08E-09,383.0025561,52998,278.8456307,295.7285183,295.7285186
5,2,2,10,1,6,TEOC,0,39.39162588,5544,292.2891362,294.7253858,294.7253858
5,2,2,10,1,6,TEOM,0,1015.13923,106459,198.2731844,294.7253862,294.7253862
5,2,2,10,1,6,TEOR,0,1280.311936,223068,274.9194011,294.7253862,294.7253862
5,2,2,10,1,7,TEOC,0,16.0039742,1696,291.8983615,294.1468956,294.1468956
5,2,2,10,1,7,TEOM,0,1120.494551,82769,200.3008781,294.1468959,294.1468959
5,2,2,10,1,7,TEOR,0,349.4441769,35272,279.1472874,294.1468959,294.1468959
5,2,2,10,1,8,TEOC,0,17.34962988,2272,293.279023,295.2041071,295.2041071
5,2,2,10,1,8,TEOM,1.22E-07,462.837992,30878,200.785186,295.2040712,295.2041072
5,2,2,10,1,8,TEOR,1.43E-08,1229.041836,37416,278.4184504,295.204103,295.2041072
5,2,2,10,1,9,TEOC,0,38.17999506,6906,293.3948651,296.0360294,296.0360294
5,2,2,10,1,9,TEOM,3.55E-08,927.1504729,110435,196.6455715,296.0360189,296.0360294
5,2,2,10,1,9,TEOR,2.07E-09,435.622834,55210,278.9528615,296.0360288,296.0360294
5,2,2,10,1,10,TEOC,0,109.9626989,12983,292.9035169,295.5134135,295.5134135
5,2,2,10,1,10,TEOM,0,980.246953,108617,198.0485851,295.5134135,295.5134135
5,2,2,10,1,10,TEOR,1.41E-09,1482.050081,68658,274.3994055,295.5134131,295.5134135
5,2,2,10,2,1,TEOC,0,274.1809781,11902,297.4647814,299.519894,299.519894
5,2,2,10,2,1,TEOM,6.45E-08,3722.416692,165524,214.2911808,299.519878,299.5198973
5,2,2,10,2,1,TEOR,9.98E-08,3753.953132,100267,284.8499171,299.5198674,299.5198973
